OBJECT_NAME,TLE_LINE1,TLE_LINE1
THOR ABLESTAR DEB,1 00323U 61015CZ  24002.62659320  .00000832  00000-0  46321-3 0  9994,2 00323  66.8364 217.0195 0076793  22.9528 337.4964 14.14420931201578
THOR ABLESTAR DEB,1 00324U 61015DA  24002.54770095  .00000857  00000-0  50467-3 0  9992,2 00324  66.8664 134.8808 0071868 325.3065  34.3347 14.11443601196435
THOR ABLESTAR DEB,1 00325U 61015DB  24002.12725116  .00000954  00000-0  47731-3 0  9999,2 00325  66.9142 238.6746 0059963 346.3278  13.6189 14.20036133205638
THOR ABLESTAR DEB,1 00327U 61015DD  24002.54665976  .00000178  00000-0  19646-3 0  9996,2 00327  66.5435  79.5263 0114518 349.7708  10.1038 13.90160034162079
THOR ABLESTAR DEB,1 00329U 61015DF  24002.32516582  .00000043  00000-0  13420-3 0  9997,2 00329  66.7814 315.8862 0119980 234.0058 281.5098 13.65631267107529
THOR ABLESTAR DEB,1 00330U 61015DG  24002.39133137  .00000923  00000-0  62594-3 0  9990,2 00330  66.9810  11.5655 0046445  69.6630 290.9438 14.04007285170671
THOR ABLESTAR DEB,1 00333U 61015DK  24002.55121746  .00006735  00000-0  12531-2 0  9996,2 00333  66.7103 148.2137 0053933 262.6366  96.8618 14.64749415256538
THOR ABLESTAR DEB,1 00334U 61015DL  24002.00291306  .00000013  00000-0  68475-4 0  9990,2 00334  66.9222 206.5330 0076600  26.8625 333.6389 13.91459928171225
THOR ABLESTAR DEB,1 00335U 61015DM  24002.13184330  .00001289  00000-0  64808-3 0  9994,2 00335  66.8411 269.9421 0034740 119.2509 241.2066 14.19327081199823
THOR ABLESTAR DEB,1 00336U 61015DN  24002.46591302  .00000136  00000-0  23557-3 0  9998,2 00336  67.0302 124.5597 0073877  55.3290  11.8312 13.68760071116453
THOR ABLESTAR DEB,1 00337U 61015DP  24002.05889977  .00000444  00000-0  51804-3 0  9990,2 00337  67.0077 240.2874 0103335 188.1916 171.7474 13.75239819121360
THOR ABLESTAR DEB,1 00350U 61015DQ  24002.37182424  .00000198  00000-0  11878-3 0  9996,2 00350  66.9132   6.4608 0120850 109.7891 251.6282 14.21409752235430
THOR ABLESTAR DEB,1 00351U 61015DR  24002.61068447  .00006248  00000-0  12638-2 0  9998,2 00351  66.7498  79.5123 0035584 290.0321  69.6964 14.61552047245578
THOR ABLESTAR DEB,1 00354U 61015DU  24002.29510663  .00000107  00000-0  25561-3 0  9995,2 00354  67.0672 318.7159 0169814 217.7713 308.4578 13.48723242356884
THOR ABLESTAR DEB,1 00355U 61015DV  24002.61117170  .00000597  00000-0  11483-2 0  9998,2 00355  67.2245 160.6543 0242022 121.3238 323.1184 13.32804201 29487
THOR ABLESTAR DEB,1 00357U 61015DX  24002.31814663  .00001431  00000-0  91909-3 0  9998,2 00357  66.8107 338.8180 0007311 136.8470 223.3191 14.06048587169591
THOR ABLESTAR DEB,1 00402U 61015EB  24002.60355482  .00006546  00000-0  17325-2 0  9991,2 00402  66.6604 183.9313 0039193 263.7474  95.9168 14.48898024210191
THOR ABLESTAR DEB,1 00403U 61015EC  24002.19948417  .00000048  00000-0  11553-3 0  9991,2 00403  66.8416 277.0559 0015075  76.4385  46.8337 13.80952939147288
THOR ABLESTAR DEB,1 00404U 61015ED  24002.56412386  .00000333  00000-0  73220-3 0  9990,2 00404  66.4693 183.2931 0561786 291.7651  62.4501 12.91253188927450
THOR ABLESTAR DEB,1 00405U 61015EE  24002.47942175  .00000056  00000-0  15104-3 0  9994,2 00405  66.8934  95.9558 0080003  74.7276   7.0000 13.66179086109635
THOR ABLESTAR DEB,1 00406U 61015EF  24002.33711990  .00000623  00000-0  77537-3 0  9997,2 00406  66.7792 305.8405 0124661 276.4780 163.5409 13.68013414 98442
THOR ABLESTAR DEB,1 00407U 61015EG  24002.64195218  .00015512  00000-0  30635-2 0  9991,2 00407  66.3235 165.8999 0064249 169.2899 279.1403 14.61227962199278
THOR ABLESTAR DEB,1 00408U 61015EH  24002.55309223  .00000414  00000-0  49576-3 0  9995,2 00408  66.7868  87.8449 0066122   6.1744 106.2786 13.75859410182288
THOR ABLESTAR DEB,1 00409U 61015EJ  24001.83534429  .00001409  00000-0  62335-3 0  9997,2 00409  66.7129 165.2038 0061138 106.0794 254.7045 14.25093155213241
THOR ABLESTAR DEB,1 00410U 61015EK  24002.45759580  .00000032  00000-0  10921-3 0  9990,2 00410  66.6937  25.1473 0020871 249.8844 222.1935 13.76316769136657
THOR ABLESTAR DEB,1 00414U 61015EP  24002.62223998  .00000076  00000-0  15251-3 0  9991,2 00414  66.4445 118.0410 0054090 299.4858 164.3521 13.77287733138549
THOR ABLESTAR DEB,1 00416U 61015ER  24002.55876828  .00000377  00000-0  23975-3 0  9997,2 00416  66.5258  59.0180 0069244  48.7850 311.9179 14.13302202205078
THOR ABLESTAR DEB,1 00417U 61015ES  24002.07897309  .00001109  00000-0  56217-3 0  9991,2 00417  66.7466 354.3164 0068173  24.1067 336.3190 14.18520879210148
