THOR ABLESTAR DEB,0,"(2437.7305711347226, 6344.3803465621895, 2314.9384435076936)","(-2.072593012665341, 3.1610358634057625, -6.446042604867241)"
THOR ABLESTAR DEB,0,"(-2956.1606250843274, -2286.3136996063135, -6235.768933144095)","(0.24250225288411523, -6.968512460825188, 2.5026536826921957)"
THOR ABLESTAR DEB,0,"(6805.58049903465, 2041.201926367509, -671.1293653032383)","(-0.20642448559697682, 2.9401723531314055, 6.890713975740082)"
THOR ABLESTAR DEB,0,"(-2042.7511478892743, 6242.418092512075, 3091.9347418888256)","(-3.919212230428644, 1.7448976411371449, -6.0513942275317305)"
THOR ABLESTAR DEB,0,"(2947.0194379358136, 5810.035817984856, -3452.1087588650003)","(-4.323920702455223, -1.2421598590586491, -5.784788106009814)"
THOR ABLESTAR DEB,0,"(2525.373026133648, -4129.329608171712, 5484.081303479891)","(1.499670874325921, 6.070093545300885, 3.915941059711366)"
THOR ABLESTAR DEB,0,"(-2882.544781928618, -61.967818461518945, -6708.96313663323)","(0.9338067513038673, -7.2980695244423766, -0.3821800135394748)"
THOR ABLESTAR DEB,0,"(-5808.529423241247, 726.0525931976955, -4289.000951771916)","(-4.239865940588986, -3.133791549302442, 5.178046573421577)"
THOR ABLESTAR DEB,0,"(3102.3425599089915, 4297.929880787639, 5070.621125047065)","(-5.7925317613767, -0.9117205541087523, 4.400617804170968)"
THOR ABLESTAR DEB,0,"(-1276.3134128491201, 6092.061026160291, -3877.395275735429)","(-4.122701295964967, 2.6087616613875455, 5.5342877492597395)"
THOR ABLESTAR DEB,0,"(-2508.403400724414, 1621.188902919514, 6691.970080271627)","(-5.105746845751052, -5.206117548960692, -0.705960642503568)"
THOR ABLESTAR DEB,0,"(-6857.812108551001, 2119.3544644419085, 984.9537503237004)","(0.07761547090041471, -3.131488389553771, 6.734763065826884)"
THOR ABLESTAR DEB,0,"(1956.024826734313, 6859.677475628432, 332.1947003021025)","(-2.746899009691463, 1.0951741577133716, -6.879318963171806)"
THOR ABLESTAR DEB,0,"(-2481.316386204317, -1424.6474553007517, 6723.388557897986)","(4.378202102168897, -6.213223883036161, 0.21743221713992805)"
THOR ABLESTAR DEB,0,"(-4864.675705921885, 5813.991751495896, 1428.3700109728336)","(-1.377303362636466, -3.048620201039958, 6.323971758984721)"
DELTA 1 DEB (YO),0,"(-3890.085591421336, -2862.9117971324736, 5250.449208536605)","(5.006835036302831, -5.5542052551186405, 0.6234132480262938)"
THOR ABLESTAR DEB,0,"(2697.260640545558, 3085.6656426205022, 6168.722805371575)","(-1.071162220735418, 6.6320765270997635, -2.964067850669773)"
THOR ABLESTAR DEB,0,"(-1714.9939996696912, -2455.2453344604364, -6579.921034099971)","(4.669609561496452, -5.709393537242253, 0.819620833525085)"
THOR ABLESTAR DEB,0,"(6497.345504480771, -2136.0299276569276, 2373.808712354023)","(3.1059671362871564, 2.2401898810068777, -6.393576022824384)"
